index,amine,aldehyde,topology,aldehyde_peaks,aldehyde_amplitudes,imine_peaks,imine_amplitudes,aldehyde?,imine?
17,Nc1nc(N)nc(N)n1,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,TWENTY_PLUS_THIRTY,"[9.738020810674906, 9.681174255323953, 9.679951748757265, 9.67383921592383]","[4698252.609375, 10106.296875, 10147.1875, 102348.46875]","[8.271624183933637, 8.262455384683484, 8.26001037155011, 8.258176611700078, 8.242895279616489, 8.148762273981577, 8.08641443908053, 8.0845806792305, 8.082135666097125, 8.019787831196078, 8.0130640450793, 8.00634025896252, 8.00450649911249, 8.00267273926246, 7.998393966279055, 7.996560206429022, 7.9708875685285925, 7.892035894977269, 7.741056333991404, 7.678708499090357, 7.676263485956984, 7.615138157622624, 7.453767290819917, 7.442764731719732, 7.440930971869701, 7.43726345216964, 7.434207185752921, 7.2013196847990155, 7.197040911815609, 7.193984645398892, 7.121856757964348, 7.092516600363856]","[287390.765625, 10598.96875, 11683.671875, 10249.53125, 1759294.15625, 381820.34375, 10264.296875, 11600.0625, 20454.546875, 175807.0625, 10164.59375, 31031.6875, 10181.078125, 54119.171875, 21341.921875, 10011.171875, 1229726.046875, 222636.765625, 117539.53125, 33333.859375, 21420.109375, 10434.484375, 10387.40625, 10446.53125, 10329.9375, 31435.734375, 21785.0625, 86032.203125, 30668.59375, 10350.375, 143147.875, 3545283.5]",true,true
18,Cc1c(CN)c(C)c(CN)c(C)c1CN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,FOUR_PLUS_SIX,,[],"[8.187271230832222, 8.182381204565475, 8.1799361914321, 8.171378645465289, 8.153041046964981, 8.123700889364489, 8.110864570414273, 8.101084517880777, 7.83091056664291, 7.826631793659505, 7.81868550097604, 7.348020472801476, 7.346797966234789, 7.339462926834665, 7.2123222438992, 6.873687924926852, 6.838846487776268, 6.824787662259364, 6.748381001841416, 6.736767189457888, 6.730654656624452, 6.721485857374297, 6.719652097524268]","[20205.734375, 10507.1484375, 10536.546875, 232139.875, 71741.5859375, 148467.6875, 10117.359375, 466927.78125, 10139.53125, 10241.15625, 31637.96875, 10459.6640625, 10048.625, 87399.1171875, 10119.703125, 769682.8046875, 841250.7265625, 43207.5546875, 10912.734375, 105935.265625, 103219.859375, 10085.828125, 20737.7109375]",false,true
19,Cc1c(CN)c(C)c(CN)c(C)c1CN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,EIGHT_PLUS_TWELVE,,[],"[8.233726480366334, 8.209276349032592, 8.178713684865413, 8.177491178298725, 8.171989898748633, 8.165266112631853, 8.157931073231731, 8.134703448464675, 8.129813422197925, 8.124312142647833, 8.123089636081145, 7.830299313359568, 7.817462994409352, 7.334572900567917, 7.3315166341512, 7.329682874301168, 7.170757020631836, 7.1689232607818045, 7.167089500931773, 7.1597544615316515, 6.929311973711117, 6.924421947444369, 6.918309414610933, 6.846792780459733, 6.8040050506256815, 6.801560037492308, 6.78994622510878, 6.787501211975405, 6.784444945558688, 6.781388679141969, 6.7801661725752815, 6.774053639741847, 6.759994814224944, 6.758161054374913, 6.754493534674852, 6.745935988708041, 6.731265909907796, 6.715984577824205, 6.706204525290708, 6.695813219473868]","[20835.4609375, 1135154.6875, 10020.46875, 10081.71875, 43325.796875, 188896.4921875, 10010.109375, 10044.0859375, 119907.65625, 10096.515625, 10440.5859375, 147705.8515625, 179477.8203125, 10076.6875, 10137.5, 47826.640625, 21065.921875, 20611.171875, 10097.78125, 10212.5625, 53279.375, 20584.46875, 54324.21875, 2659478.2734375, 10161.40625, 21449.828125, 10038.7265625, 30206.9140625, 10335.515625, 10172.5703125, 10059.21875, 344320.296875, 20536.5859375, 21372.5546875, 63795.4375, 77514.515625, 10403.2109375, 184495.265625, 53164.53125, 10111.8984375]",false,true
20,Cc1c(CN)c(C)c(CN)c(C)c1CN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,TWENTY_PLUS_THIRTY,,[],"[8.129202168914581, 8.109642063847588, 8.097416998180716, 7.928099838694541, 7.923821065711136, 7.909762240194233, 7.603524345239096, 7.447043504703137, 7.385918176368778, 7.381028150102029, 7.378583136968656, 6.93970327952796, 6.93297949341118, 6.9195319211776205]","[20897.6484375, 534653.375, 10614.828125, 161429.828125, 63059.9140625, 180897.71875, 15061504.3359375, 197797.7109375, 30431.9765625, 20315.8046875, 76165.203125, 198287.1640625, 63388.8828125, 1468918.2734375]",false,true
21,NCCN(CCN)CCN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,FOUR_PLUS_SIX,,[],"[7.869419523493557, 7.829688060076224, 7.663427167006768, 7.179314566598645, 7.177480806748614, 7.173202033765209, 7.1689232607818045]","[10190.9140625, 52383.8046875, 13980057.1484375, 31524.5390625, 20718.15625, 95250.484375, 10005.40625]",false,true
22,NCCN(CCN)CCN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,EIGHT_PLUS_TWELVE,"[10.104161527397716, 9.745967103358373, 9.717849452324566]","[32548.0390625, 3046399.078125, 43783.9609375]","[8.014897804929332, 7.9232098124277925, 7.153030675414872, 7.148140649148123, 7.145695636014748, 7.140805609748, 7.108409185730789, 6.8095063301757754, 6.758161054374913]","[93247.125, 10211.8671875, 75400.96875, 11001.4921875, 32319.8203125, 10085.0703125, 20813.5625, 3287614.140625, 10212.0546875]",true,true
23,NCCN(CCN)CCN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,TWENTY_PLUS_THIRTY,[10.030199880113141],[351201.5078125],"[8.269790424083608, 7.90059344094408, 7.8816445891604285, 7.643255808656429, 7.624918210156121, 7.561959121971732, 7.554012829288265, 7.542399016904737, 7.418925853669332, 7.078457774846953, 7.066232709180081, 7.060731429629989, 7.0533963902298655]","[382479.921875, 320880.828125, 407796.3671875, 2700561.765625, 242744.4921875, 286698.6640625, 10213.7578125, 516334.28125, 1573367.1796875, 74512.1796875, 31761.9609375, 10225.6484375, 65342.7265625]",true,true
24,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,FOUR_PLUS_SIX,,[],"[8.334583272118026, 7.873698296476961, 7.849859418426561, 7.838245606043033, 7.836411846193004, 7.821130514109413, 7.808294195159197, 7.7477801201081835, 7.676874739240326, 7.638977035673024, 7.635309515972962, 7.541176510338049, 7.4091458011358355, 7.398143242035649, 7.388363189502153, 7.382250656668717, 7.378583136968656, 7.371248097568532, 7.361468045035036, 7.351687992501537, 7.348020472801476, 7.132859317064533, 7.124913024381065, 7.122468011247692, 7.119411744830973, 7.115744225130912, 7.104130412747384, 7.063787696046708, 7.044838844263056, 6.978212236378605, 6.96720967727842, 6.888358003727097, 6.871854165076821, 6.829677688526113, 6.789334971825436, 6.709260791707425, 6.672585594706812, 6.6701405815734365, 6.648135463373068]","[551368.515625, 20598.640625, 881295.5, 10490.421875, 10005.296875, 10279.484375, 20991.6875, 2975262.359375, 2327466.0625, 42414.953125, 20982.484375, 10143.75, 10220.65625, 345408.09375, 10226.140625, 23744.546875, 115906.0625, 21099.515625, 21490.171875, 22281.25, 33387.59375, 10358.84375, 10040.140625, 32855.3125, 10060.609375, 21870.59375, 21001.671875, 1363122.25, 44531.375, 44813.015625, 1850171.375, 1838933.890625, 22841.09375, 54847.609375, 3192278.578125, 1794966.765625, 43939.078125, 10029.40625, 3260186.75]",false,true
25,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,EIGHT_PLUS_TWELVE,"[10.104772780681058, 9.745967103358373, 9.717849452324566]","[71392.2109375, 3748729.8828125, 78039.0390625]","[8.034457909996325, 8.015509058212674, 7.920153546011074, 7.722718735491096, 7.487997474687157, 7.484329954987096, 7.482496195137065, 7.480662435287034, 7.478828675437004, 7.476383662303629, 7.472716142603568, 7.445209744853106, 7.398143242035649, 7.211099737332512, 6.8095063301757754]","[64264.1953125, 168296.21875, 126479.9296875, 32503004.3203125, 53341.9453125, 31576.1328125, 10447.15625, 20614.046875, 10638.859375, 66595.890625, 10354.8828125, 1462280.7890625, 496078.78125, 10212.171875, 3757126.2734375]",true,true
26,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,TWENTY_PLUS_THIRTY,,[],"[8.102307024447464, 8.083358172663813, 7.810739208292572, 7.69949111072404, 7.677485992523669, 7.6145269043392805, 7.595578052555629, 7.561959121971732, 7.497166273937312, 7.4751611557369415, 7.347409219518132, 6.864519125676697]","[288606.5703125, 332195.53125, 1040108.9921875, 2354271.4140625, 20449.9453125, 52811.328125, 2266012.6484375, 10006.125, 71068.9375, 175644.21875, 10182.984375, 20718.9921875]",false,true
