index,amine,aldehyde,topology,aldehyde_peaks,aldehyde_amplitudes,imine_peaks,imine_amplitudes,aldehyde?,imine?
48,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1ccc(C=O)cc1,FOUR_PLUS_SIX,,[],"[8.129202168914581, 8.067465587296878, 8.061353054463444, 8.05401801506332, 8.05035049536326, 8.04362670924648, 8.040570442829761, 7.425649639786112, 7.077846521563609, 7.074179001863548, 7.071733988730173, 7.066232709180081, 7.046061350829744, 6.929923226994461, 6.908529362077436]","[281103.875, 62671.8515625, 53529.5859375, 40741.9140625, 22171.6640625, 141638.6484375, 10251.1328125, 20872.1171875, 31774.3125, 20581.6875, 10387.3359375, 253300.046875, 74888.890625, 341284.8828125, 154645.453125]",false,true
49,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1ccc(C=O)cc1,EIGHT_PLUS_TWELVE,,[],"[7.351687992501537, 7.346797966234789, 7.1774808067486155, 7.172590780481865, 7.168312007498461, 7.1658669943650875]","[20385.703125, 83512.484375, 94237.0625, 21311.375, 10075.125, 21158.96875]",false,true
50,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1ccc(C=O)cc1,TWENTY_PLUS_THIRTY,,[],"[8.170767392181945, 8.102307024447464, 8.090081958780592, 8.07296686684697, 7.6230844503060915, 7.192150885548861, 7.184815846148737, 7.1780920600319575, 6.9195319211776205, 6.88530173731038]","[3819279.6796875, 10291.0234375, 51961.171875, 737335.171875, 11161914.8828125, 55762.1875, 20336.65625, 10019.6328125, 30639.140625, 11332591.8515625]",false,true
51,NCCN(CCN)CCN,O=Cc1ccc(C=O)cc1,FOUR_PLUS_SIX,,[],"[8.686665163323935, 8.662826285273534, 8.569915786205309]","[1464422.34375, 21094.1171875, 278608.125]",false,true
52,NCCN(CCN)CCN,O=Cc1ccc(C=O)cc1,EIGHT_PLUS_TWELVE,,[],"[7.401810761735712, 7.39630948218562, 7.38958569606884, 7.387140682935465, 7.383473163235404, 7.187872112565456, 7.1842045928653935, 7.180537073165333, 7.169534514065148]","[20793.6171875, 74953.1796875, 107279.1171875, 10160.203125, 21071.75, 20391.96875, 10078.1484375, 31397.0703125, 10030.21875]",false,true
53,NCCN(CCN)CCN,O=Cc1ccc(C=O)cc1,TWENTY_PLUS_THIRTY,,[],"[7.983723887478808, 7.962941275845125, 7.946437437194849, 7.48677496812047, 7.469659876186849, 7.462324836786728, 7.459268570370009, 7.41342457411924, 7.3651355647350965, 7.358411778618317, 7.351076739218193, 7.349242979368164, 7.344964206384757, 7.065010202613395, 7.06256518948002, 7.0527851369465235, 7.046672604113088, 7.043005084413025, 7.034447538446216, 7.032002525312841]","[10049.625, 606883.203125, 31237.9296875, 10205.21875, 233351.578125, 42189.3046875, 31874.2109375, 4580934.2578125, 40539.859375, 10089.4765625, 10301.75, 66741.03125, 30943.0390625, 10124.2421875, 20345.9140625, 10566.1796875, 21142.453125, 84576.25, 20461.96875, 20970.6796875]",false,true
54,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1ccc(C=O)cc1,FOUR_PLUS_SIX,,[],"[8.180547444715444, 7.982501380912121, 7.906094720494172, 7.864529497226808, 7.843135632309782, 7.788734090092202, 7.684209778640449, 7.4898312345371885, 7.453767290819917, 7.407923294569148, 7.401199508452368, 7.202542191365701, 7.197040911815609, 7.145695636014748, 7.13591558348125, 7.125524277664409, 7.048506363963117]","[239604.671875, 1045817.796875, 2505429.234375, 10078.0625, 2578403.078125, 1182241.2890625, 252302.3359375, 10015.3515625, 3311347.1796875, 20957.171875, 31727.09375, 20154.7265625, 10036.4453125, 502689.3984375, 10163.015625, 341354.5703125, 32114.390625]",false,true
55,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1ccc(C=O)cc1,EIGHT_PLUS_TWELVE,,[],"[7.876143309610336, 7.826020540376161, 7.824798033809476, 7.8076829418758535, 7.429928412769517, 7.36574681801844, 7.363913058168409, 7.359634285185004, 7.049728870529805, 6.9042505890940316, 6.883467977460349, 6.864519125676697, 6.525273553421005]","[1084567.046875, 10103.015625, 21586.921875, 1494896.6875, 75132.8046875, 57369.75, 10198.640625, 52291.0234375, 2568077.359375, 10362.859375, 3141918.3828125, 10002.2109375, 953800.0078125]",false,true
56,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1ccc(C=O)cc1,TWENTY_PLUS_THIRTY,,[],"[8.212943868732653, 8.143872247714828, 8.142038487864797, 7.944603677344817, 7.849859418426561, 7.745946360258152, 7.423204626652737, 7.407923294569148, 7.392641962485557, 7.032613778596184, 6.893859283277189, 6.865130378960041, 6.862074112543324, 6.837012727926236, 6.833956461509517, 6.8309001950928, 6.767941106908411, 6.640189170689601, 6.626130345172697, 6.533831099387816, 6.513659741037477]","[395678.1796875, 10674.7890625, 125383.3125, 3304757.1328125, 232614.0546875, 1482124.78125, 21057.46875, 54482.8984375, 532218.8203125, 851094.7890625, 6257205.890625, 10390.4140625, 10177.078125, 10598.8984375, 10042.953125, 21635.6953125, 10551497.515625, 11159.09375, 1910252.5625, 237835.4921875, 148585.9609375]",false,true
57,NCCCN(CCCN)CCCN,O=Cc1ccc(C=O)cc1,FOUR_PLUS_SIX,,[],"[8.728230386591298, 8.69950148227415, 8.602312210222518, 8.42199249163616, 8.305243114517534, 8.277736716767073, 7.613915651055937, 7.198263418382297, 7.195207151965578, 7.193373392115548, 7.192150885548861, 6.9433707992280205]","[2615261.2578125, 63747.25, 415604.046875, 469401.5859375, 2690424.1484375, 10369.0234375, 7670761.3515625, 41501.046875, 31419.4296875, 10106.3984375, 10370.1171875, 20292.2890625]",false,true
58,NCCCN(CCCN)CCCN,O=Cc1ccc(C=O)cc1,EIGHT_PLUS_TWELVE,[9.882276585543993],[56763.5078125],"[8.222112667982808, 8.02834537716289, 7.9623300225617815, 7.961107515995096, 7.944603677344817, 7.84252437902644, 7.822964273959444, 7.821130514109413, 7.773452758008613, 7.631030742989557, 7.563792881821762, 6.956207118178236, 6.796058757942216, 6.594345174438832]","[319501.1953125, 650741.15625, 10146.375, 10139.5390625, 1512341.5703125, 11349.8828125, 10320.4375, 31114.3515625, 52725.7890625, 1039413.09375, 3590936.453125, 21071.5703125, 22857240.203125, 1870041.265625]",true,true
59,NCCCN(CCCN)CCCN,O=Cc1ccc(C=O)cc1,TWENTY_PLUS_THIRTY,,[],"[8.526516803087913, 8.442163849986498, 8.366368442851895, 7.338851673551321, 7.196429658532265, 7.190928378982173, 7.184815846148737, 7.180537073165333, 7.178703313315301, 7.1750357936152405, 7.102907906180697, 6.958040878028267, 6.932368240127836]","[579162.765625, 848483.9375, 553213.9921875, 65402.0703125, 55054.328125, 53807.9609375, 10006.796875, 10228.84375, 30520.6875, 10150.2734375, 1408444.484375, 470491.5, 636304.703125]",false,true
60,Nc1nc(N)nc(N)n1,O=Cc1c(F)c(F)c(C=O)c(F)c1F,FOUR_PLUS_SIX,,[],"[7.58702050658882, 7.5760179474886336, 7.379194390252, 7.3736931107019075, 7.366358071301784, 7.182982086298708, 6.912196881777497]","[107394.109375, 147092.5546875, 10310.3828125, 10642.0546875, 146548.0234375, 62654.9296875, 10635.4609375]",false,true
61,Nc1nc(N)nc(N)n1,O=Cc1c(F)c(F)c(C=O)c(F)c1F,EIGHT_PLUS_TWELVE,,[],"[7.908539733627546, 7.90731722706086, 7.873698296476961, 7.834578086342972, 7.832133073209597, 7.543010270188081, 7.541176510338049, 7.1780920600319575, 7.170757020631836, 7.167700754215117, 7.1664782476484294, 7.163421981231712, 7.159143208248308]","[10679.609375, 10411.7265625, 2159829.609375, 20825.28125, 10714.7421875, 20292.5546875, 10111.328125, 157094.515625, 42696.328125, 10148.9296875, 20488.625, 21190.3984375, 20620.453125]",false,true
62,Nc1nc(N)nc(N)n1,O=Cc1c(F)c(F)c(C=O)c(F)c1F,TWENTY_PLUS_THIRTY,,[],"[7.630419489706213, 7.4990000337873415, 7.425038386502768, 7.377971883685312, 7.186038352715425, 7.1835933395820515, 7.17136827391518, 6.579063842355241, 6.547278671621376]","[22365608.1796875, 10109.4140625, 6323873.3515625, 65883.765625, 10008.4765625, 32127.9921875, 1244250.984375, 122693.546875, 501384.796875]",false,true
63,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,FOUR_PLUS_SIX,,[],"[7.38958569606884, 7.379805643535342, 7.373081857418564, 6.9739334633952, 6.957429624744924, 6.703759512157333]","[413104.5390625, 42114.515625, 72112.578125, 1910631.390625, 10284.703125, 5269197.1328125]",false,true
64,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,EIGHT_PLUS_TWELVE,,[],"[8.12064462294777, 8.109642063847586, 8.055851774913352, 7.972721328378624, 7.4268721463528, 7.190317125698829, 7.182982086298708, 7.1780920600319575, 7.176258300181928, 7.171979527198522, 7.1689232607818045, 7.162810727948369, 7.154253181981558, 7.149974408998153, 7.146918142581436, 7.1426393695980295, 7.138360596614625, 7.1359155834812515, 7.041171324562995, 6.911585628494153]","[309718.671875, 10168.6328125, 2189676.7890625, 5217378.46875, 10114.4765625, 87471.7890625, 54193.921875, 41201.375, 21337.65625, 20833.875, 21549.4921875, 10147.4765625, 10671.0078125, 31619.90625, 41783.375, 43011.859375, 30962.09375, 21283.4296875, 9364706.1796875, 8534204.8359375]",false,true
65,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,TWENTY_PLUS_THIRTY,[10.335826521784934],[133951.3203125],"[8.898158799360814, 8.617593542306109, 8.611481009472673, 8.58030709202215, 8.574194559188713, 8.546688161438253, 8.480061553553801, 8.434217557303032, 8.400598626719134, 8.38959606761895, 8.385928547918889, 8.36942470926861, 8.085803185797186, 8.083969425947156, 8.078468146397064, 8.068688093863567, 8.065631827446849, 8.057685534763381, 7.899982187660736, 7.892647148260613, 7.844969392159813, 7.813184221425946, 7.796680382775669, 7.790567849942233, 7.774675264575301, 7.758782679208368, 7.738611320858029, 7.705603643557476, 7.690933564757229, 7.684821031923793, 7.442764731719732, 7.439708465303013]","[159234.359375, 408367.0859375, 20587.1171875, 10175.0078125, 31871.3828125, 2172095.921875, 255809.53125, 377109.890625, 434135.71875, 10517.0859375, 10286.1015625, 439002.15625, 10413.0234375, 10115.03125, 218612.6875, 20863.71875, 20536.1015625, 203411.59375, 197620.2734375, 20376.265625, 1508122.453125, 237801.734375, 20552.3125, 20316.9609375, 53164.46875, 256079.0, 447455.078125, 231615.921875, 21017.59375, 94391.8828125, 41953.8203125, 42179.78125]",true,true
66,NCCN(CCN)CCN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,FOUR_PLUS_SIX,,[],"[8.087636945647217, 8.059519294613413, 8.05401801506332, 8.007562765529206, 7.659759647306705, 7.601079332105721, 7.337629166984636, 7.334572900567917, 7.3315166341512, 7.202542191365701, 7.2013196847990155, 6.885912990593724, 6.826010168826052]","[5891290.609375, 64535.953125, 10227.84375, 1950245.21875, 42582.125, 16929609.7265625, 10365.0078125, 10433.828125, 33355.1171875, 10083.25, 10249.265625, 17117702.3515625, 20803.5390625]",false,true
67,NCCN(CCN)CCN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,EIGHT_PLUS_TWELVE,,[],"[8.661603778706848, 7.450099771119856, 7.3412966866846965, 7.337629166984634, 7.209877230765825]","[2724401.390625, 3104175.265625, 31409.03125, 20271.4296875, 40529.3203125]",false,true
68,NCCN(CCN)CCN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,TWENTY_PLUS_THIRTY,,[],"[7.436652198886296, 7.1835933395820515]","[64904.3828125, 189849.8828125]",false,true
69,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,FOUR_PLUS_SIX,,[],"[7.83091056664291, 7.546677789888141, 7.431762172619548, 6.8956930431272205, 6.8926367767105035, 6.884079230743692, 6.876744191343569, 6.8694091519434455, 6.863907872393353, 6.8541278198598565, 6.847404033743077, 6.8455702738930455, 6.843125260759672, 6.8272326753927395]","[10601.578125, 10158.015625, 20577.0703125, 106663.453125, 10352.8984375, 139584.34375, 10439.1796875, 52967.9765625, 20743.1796875, 73404.34375, 10068.234375, 20864.9453125, 10027.1953125, 10367.7578125]",false,true
70,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,EIGHT_PLUS_TWELVE,,[],"[8.291184289000633, 8.26184413140014, 8.249007812449925, 8.148762273981577, 8.048516735513228, 7.99594895314568, 7.982501380912121, 7.8877571219938645, 7.841913125743096, 7.8400793658930645, 7.761838945625085, 7.758782679208368, 7.7569489193583365, 7.638977035673024, 7.499611287070685, 7.465381103203445, 7.45437854410326, 7.4421534784363885, 7.370636844285189, 6.5778413357885555, 6.528941073121068]","[42536.078125, 10255.90625, 907015.0390625, 1411267.125, 487237.671875, 71552.515625, 41439.859375, 618796.2734375, 20767.2890625, 10095.2734375, 10060.90625, 10173.5078125, 10131.6953125, 10620.5234375, 10794737.9296875, 10662.7578125, 20572.1015625, 1883568.8515625, 200404.65625, 243078.6640625, 430255.890625]",false,true
71,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,TWENTY_PLUS_THIRTY,,[],"[7.988002660462213, 7.937268637944696, 7.913429759894296, 7.871864536626932, 7.435429692319609, 7.404255774869085, 7.399365748602337, 7.393864469052245, 7.390808202635528, 7.388363189502153, 7.386529429652121, 7.383473163235404, 7.377360630401968, 7.030780018746153, 6.776498652875221, 6.768552360191753, 6.755104787958196, 6.572340056238463]","[546367.5859375, 10051.359375, 1978930.625, 135188.125, 1643092.3125, 10317.1484375, 99493.7890625, 10169.015625, 20239.25, 20790.2265625, 10411.9765625, 63312.453125, 122128.6328125, 334895.7734375, 42173.640625, 404035.3359375, 10486.0234375, 1791187.8828125]",false,true
72,NCCCN(CCCN)CCCN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,FOUR_PLUS_SIX,,[],"[8.214777628582684, 8.182381204565473, 8.168322379048572, 8.163432352781822, 8.159764833081761, 8.07602313326369, 7.945214930628161, 7.440930971869701, 7.404867028152429, 7.14752939586478, 7.140194356464656, 7.137749343331281, 7.13591558348125, 7.1334705703478765, 7.124301771097722, 7.113299211997537, 7.11024294558082, 7.106575425880758, 7.040560071279652, 6.9433707992280205, 6.76794110690841]","[203259.703125, 434787.65625, 10059.1328125, 10155.3984375, 20865.3515625, 1588777.5859375, 411127.25, 10031.75, 2009926.7109375, 41354.109375, 21464.0, 30877.0859375, 10596.5625, 20374.984375, 385226.34375, 20991.203125, 54076.9609375, 10749.640625, 431928.6953125, 3249578.9375, 2448965.390625]",false,true
73,NCCCN(CCCN)CCCN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,EIGHT_PLUS_TWELVE,,[],"[8.83581096445977, 8.747790491658293, 8.42871627775294, 8.349253350918273, 7.745946360258152, 7.66892844655686, 7.6499795947732085, 7.565015388388449, 7.546066536604798, 7.352299245784881, 7.348020472801476, 7.346186712951445, 7.189094619132144, 6.978212236378605, 6.959874637878297, 6.942148292661333]","[442085.3515625, 299691.4921875, 304114.5, 446451.890625, 1073762.9921875, 193728.8203125, 215084.125, 127838.4609375, 111579.6875, 21210.40625, 20714.5, 10300.46875, 10005.1171875, 97061.875, 10254.5546875, 73839.09375]",false,true
74,NCCCN(CCCN)CCCN,O=Cc1c(F)c(F)c(C=O)c(F)c1F,TWENTY_PLUS_THIRTY,[9.882276585543993],[10054.6328125],"[8.194606270232345, 8.154874806815013, 8.15242979368164, 8.144483500998172, 8.138370968164734, 8.119422116381084, 8.083358172663813, 8.014897804929332, 7.84252437902644, 7.543621523471424, 7.417092093819301, 7.4097570544191775, 7.407923294569148, 6.960485891161641, 6.921976934310996, 6.830288941809457, 6.789334971825436, 6.712317058124144, 6.692756953057149]","[2437459.171875, 20890.0625, 10029.296875, 10476.2890625, 75592.234375, 1825353.15625, 107627.40625, 2422675.2734375, 41118.71875, 9854592.6640625, 31182.109375, 10189.6875, 10485.4921875, 10217.3203125, 4758574.1484375, 3948181.78125, 10370.6796875, 20498.7734375, 4694688.703125]",true,true
